Address,Function,Instruction
.text:0000000180162D13,NtAlertMultipleThreadByThreadId, 6Eh 
.text:0000000180162D33,ZwAlertResumeThread, 6Fh 
.text:0000000180162D53,NtAlertThread, 70h 
.text:0000000180162D73,ZwAlertThreadByThreadId, 71h 
.text:0000000180162D93,ZwAlertThreadByThreadIdEx, 72h 
.text:0000000180162DB3,ZwAllocateLocallyUniqueId, 73h 
.text:0000000180162DD3,NtAllocateReserveObject, 74h 
.text:0000000180162DF3,ZwAllocateUserPhysicalPages, 75h 
.text:0000000180162E13,NtAllocateUserPhysicalPagesEx, 76h 
.text:0000000180162E33,ZwAllocateUuids, 77h 
.text:0000000180162E53,NtAllocateVirtualMemoryEx, 78h 
.text:0000000180162E73,ZwAlpcAcceptConnectPort, 79h 
.text:0000000180162E93,NtAlpcCancelMessage, 7Ah 
.text:0000000180162EB3,NtAlpcConnectPort, 7Bh 
.text:0000000180162ED3,NtAlpcConnectPortEx, 7Ch 
.text:0000000180162EF3,NtAlpcCreatePort, 7Dh 
.text:0000000180162F13,ZwAlpcCreatePortSection, 7Eh 
.text:0000000180162F33,ZwAlpcCreateResourceReserve, 7Fh
.text:0000000180162F53,NtAlpcCreateSectionView, 80h
.text:0000000180162F73,NtAlpcCreateSecurityContext, 81h
.text:0000000180162F93,NtAlpcDeletePortSection, 82h
.text:0000000180162FB3,NtAlpcDeleteResourceReserve, 83h
.text:0000000180162FD3,ZwAlpcDeleteSectionView, 84h
.text:0000000180162FF3,ZwAlpcDeleteSecurityContext, 85h
.text:0000000180163013,NtAlpcDisconnectPort, 86h
.text:0000000180163033,NtAlpcImpersonateClientContainerOfPort, 87h
.text:0000000180163053,NtAlpcImpersonateClientOfPort, 88h
.text:0000000180163073,NtAlpcOpenSenderProcess, 89h
.text:0000000180163093,NtAlpcOpenSenderThread, 8Ah
.text:00000001801630B3,ZwAlpcQueryInformation, 8Bh
.text:00000001801630D3,ZwAlpcQueryInformationMessage, 8Ch
.text:00000001801630F3,NtAlpcRevokeSecurityContext, 8Dh
.text:0000000180163113,ZwAlpcSendWaitReceivePort, 8Eh
.text:0000000180163133,NtAlpcSetInformation, 8Fh
.text:0000000180163153,ZwAreMappedFilesTheSame, 90h
.text:0000000180163173,NtAssignProcessToJobObject, 91h
.text:0000000180163193,ZwAssociateWaitCompletionPacket, 92h
.text:00000001801631B3,ZwCallEnclave, 93h
.text:00000001801631D3,ZwCancelIoFileEx, 94h
.text:00000001801631F3,ZwCancelSynchronousIoFile, 95h
.text:0000000180163213,ZwCancelTimer2, 96h
.text:0000000180163233,ZwCancelWaitCompletionPacket, 97h
.text:0000000180163253,NtChangeProcessState, 98h
.text:0000000180163273,NtChangeThreadState, 99h
.text:0000000180163293,NtCommitComplete, 9Ah
.text:00000001801632B3,ZwCommitEnlistment, 9Bh
.text:00000001801632D3,NtCommitRegistryTransaction, 9Ch
.text:00000001801632F3,ZwCommitTransaction, 9Dh
.text:0000000180163313,NtCompactKeys, 9Eh
.text:0000000180163333,NtCompareObjects, 9Fh
.text:0000000180163353,NtCompareSigningLevels, 0A0h
.text:0000000180163373,ZwCompareTokens, 0A1h
.text:0000000180163393,NtCompleteConnectPort, 0A2h
.text:00000001801633B3,NtCompressKey, 0A3h
.text:00000001801633D3,ZwConnectPort, 0A4h
.text:00000001801633F3,ZwContinueEx, 0A5h
.text:0000000180163413,ZwConvertBetweenAuxiliaryCounterAndPerformanceCounter, 0A6h
.text:0000000180163433,ZwCopyFileChunk, 0A7h
.text:0000000180163453,ZwCreateCpuPartition, 0A8h
.text:0000000180163473,NtCreateCrossVmEvent, 0A9h
.text:0000000180163493,ZwCreateCrossVmMutant, 0AAh
.text:00000001801634B3,NtCreateDebugObject, 0ABh
.text:00000001801634D3,NtCreateDirectoryObject, 0ACh
.text:00000001801634F3,ZwCreateDirectoryObjectEx, 0ADh
.text:0000000180163513,ZwCreateEnclave, 0AEh
.text:0000000180163533,NtCreateEnlistment, 0AFh
.text:0000000180163553,ZwCreateEventPair, 0B0h
.text:0000000180163573,ZwCreateIRTimer, 0B1h
.text:0000000180163593,NtCreateIoCompletion, 0B2h
.text:00000001801635B3,NtCreateIoRing, 0B3h
.text:00000001801635D3,ZwCreateJobObject, 0B4h
.text:00000001801635F3,ZwCreateJobSet, 0B5h
.text:0000000180163613,ZwCreateKeyTransacted, 0B6h
.text:0000000180163633,ZwCreateKeyedEvent, 0B7h
.text:0000000180163653,NtCreateLowBoxToken, 0B8h
.text:0000000180163673,ZwCreateMailslotFile, 0B9h
.text:0000000180163693,NtCreateMutant, 0BAh
.text:00000001801636B3,NtCreateNamedPipeFile, 0BBh
.text:00000001801636D3,NtCreatePagingFile, 0BCh
.text:00000001801636F3,ZwCreatePartition, 0BDh
.text:0000000180163713,ZwCreatePort, 0BEh
.text:0000000180163733,ZwCreatePrivateNamespace, 0BFh
.text:0000000180163753,NtCreateProcess, 0C0h
.text:0000000180163773,NtCreateProcessStateChange, 0C1h
.text:0000000180163793,ZwCreateProfile, 0C2h
.text:00000001801637B3,ZwCreateProfileEx, 0C3h
.text:00000001801637D3,ZwCreateRegistryTransaction, 0C4h
.text:00000001801637F3,NtCreateResourceManager, 0C5h
.text:0000000180163813,NtCreateSectionEx, 0C6h
.text:0000000180163833,NtCreateSemaphore, 0C7h
.text:0000000180163853,ZwCreateSymbolicLinkObject, 0C8h
.text:0000000180163873,NtCreateThreadEx, 0C9h
.text:0000000180163893,ZwCreateThreadStateChange, 0CAh
.text:00000001801638B3,ZwCreateTimer, 0CBh
.text:00000001801638D3,NtCreateTimer2, 0CCh
.text:00000001801638F3,NtCreateToken, 0CDh
.text:0000000180163913,NtCreateTokenEx, 0CEh
.text:0000000180163933,NtCreateTransaction, 0CFh
.text:0000000180163953,ZwCreateTransactionManager, 0D0h
.text:0000000180163973,NtCreateUserProcess, 0D1h
.text:0000000180163993,NtCreateWaitCompletionPacket, 0D2h
.text:00000001801639B3,NtCreateWaitablePort, 0D3h
.text:00000001801639D3,NtCreateWnfStateName, 0D4h
.text:00000001801639F3,NtCreateWorkerFactory, 0D5h
.text:0000000180163A13,NtDebugActiveProcess, 0D6h
.text:0000000180163A33,NtDebugContinue, 0D7h
.text:0000000180163A53,NtDeleteAtom, 0D8h
.text:0000000180163A73,NtDeleteBootEntry, 0D9h
.text:0000000180163A93,ZwDeleteDriverEntry, 0DAh
.text:0000000180163AB3,NtDeleteFile, 0DBh
.text:0000000180163AD3,NtDeleteKey, 0DCh
.text:0000000180163AF3,ZwDeleteObjectAuditAlarm, 0DDh
.text:0000000180163B13,NtDeletePrivateNamespace, 0DEh
.text:0000000180163B33,ZwDeleteValueKey, 0DFh
.text:0000000180163B53,NtDeleteWnfStateData, 0E0h
.text:0000000180163B73,ZwDeleteWnfStateName, 0E1h
.text:0000000180163B93,ZwDirectGraphicsCall, 0E2h
